ShenQiSkillExId	Desc	NeedItemId	NeedItemNum	NextSkillId
INT	STRING	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=500;TableType=Hash;				
#本行程序不读 神器技能ID	描述（程序不读）	升级需要的物品Id	升级需要物品数量	下一级技能ID
10901	少林神器技能1级	59252	100	10902
10902	少林神器技能2级	59252	300	10903
10903	少林神器技能3级	59252	600	10904
10904	少林神器技能4级	59252	1200	10905
10905	少林神器技能5级	59252	1500	10906
10906	少林神器技能6级	59252	2000	10907
10907	少林神器技能7级	59252	2600	10908
10908	少林神器技能8级	59252	3200	10909
10909	少林神器技能9级	59252	4000	10910
10910	少林神器技能10级	-1	0	-1
20901	天山神器技能1级	59252	100	20902
20902	天山神器技能2级	59252	300	20903
20903	天山神器技能3级	59252	600	20904
20904	天山神器技能4级	59252	1200	20905
20905	天山神器技能5级	59252	1500	20906
20906	天山神器技能6级	59252	2000	20907
20907	天山神器技能7级	59252	2600	20908
20908	天山神器技能8级	59252	3200	20909
20909	天山神器技能9级	59252	4000	20910
20910	天山神器技能10级	-1	0	-1
30901	大理神器技能1级	59252	100	30902
30902	大理神器技能2级	59252	300	30903
30903	大理神器技能3级	59252	600	30904
30904	大理神器技能4级	59252	1200	30905
30905	大理神器技能5级	59252	1500	30906
30906	大理神器技能6级	59252	2000	30907
30907	大理神器技能7级	59252	2600	30908
30908	大理神器技能8级	59252	3200	30909
30909	大理神器技能9级	59252	4000	30910
30910	大理神器技能10级	-1	0	-1
40901	逍遥神器技能1级	59252	100	40902
40902	逍遥神器技能2级	59252	300	40903
40903	逍遥神器技能3级	59252	600	40904
40904	逍遥神器技能4级	59252	1200	40905
40905	逍遥神器技能5级	59252	1500	40906
40906	逍遥神器技能6级	59252	2000	40907
40907	逍遥神器技能7级	59252	2600	40908
40908	逍遥神器技能8级	59252	3200	40909
40909	逍遥神器技能9级	59252	4000	40910
40910	逍遥神器技能10级	-1	0	-1
901	丐帮神器技能	59252	100	902
902	丐帮神器技能	59252	300	903
903	丐帮神器技能	59252	600	904
904	丐帮神器技能	59252	1200	905
905	丐帮神器技能	59252	1500	906
906	丐帮神器技能	59252	2000	907
907	丐帮神器技能	59252	2600	908
908	丐帮神器技能	59252	3200	909
909	丐帮神器技能	59252	4000	910
910	丐帮神器技能	-1	0	-1
