Id	Desc	RankPosHigh	RankPosLow	ItemDataID0	ItemCount0	ItemDataID1	ItemCount1	ItemDataID2	ItemCount2	ItemDataID3	ItemCount3	ItemDataID4	ItemCount4	ItemDataID5	ItemCount5
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#															
#唯一标示	奖励	前名次	后名次	物品ID	物品Count	物品ID	物品Count	物品ID	物品Count	物品ID	物品Count	物品ID	物品Count	物品ID	物品Count
0	秒	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	第1名	1	1	59305	1	59240	1	52209	1	59248	1	59352	1	4509	1
2	第2名	2	2	59245	1	52210	1	59248	1	59349	1	59291	1	4509	1
3	第3名	3	3	59245	1	52211	1	59248	1	59120	1	59292	1	4509	1
4	第4~5名	4	5	59245	1	52212	1	59247	1	59140	1	59293	1	59320	1
5	第6~10名	6	10	59245	1	52213	1	59247	1	59140	1	59294	1	59320	1
6	第11~20名	11	20	59243	1	52214	1	59247	1	59350	1	59295	1	-1	-1
7	第21~50名	21	50	59243	1	52215	1	59246	1	59350	1	59295	1	-1	-1
