Index	Desc	SkillId	Profession	Level	SKillIndex	AttachSkillId	IsXpAattch	IsXpIndex	PreSkillId	IntroStage	SkillItemID
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=500;MAX_RECORD=500;TableType=Index;											
#本行程序不读 索引	描述	技能ID 	需求职业	需求等级	技能编号（连续技的子技能必须大于15，常规技能小于15，子技能的编号需按顺序从小到大排列）	附属技能ID	是否是Xp的附属技能	xp技能的几变	前置技能ID	新手副本中激活标记，1代表第一个阶段激活，2代表第二个阶段激活	
1	双剑普通攻击1	101001	1	1	0	-1	0	-1	-1	0	-1
2	双剑普通攻击2	102001	1	1	21	-1	0	-1	-1	0	-1
3	双剑普通攻击3	103001	1	1	22	-1	0	-1	-1	0	-1
4	双剑普通攻击4	104001	1	1	23	-1	0	-1	-1	0	-1
5	突刺1	108001	1	3	1	-1	0	-1	-1	1	-1
6	突刺2	109001	1	3	24	-1	0	-1	-1	0	-1
7	突刺3	110001	1	3	25	-1	0	-1	-1	0	-1
8	十字斩1	105001	1	7	2	-1	0	-1	-1	3	-1
9	十字斩2	106001	1	7	26	-1	0	-1	-1	0	-1
10	死亡风暴	107001	1	15	3	-1	0	-1	-1	3	-1
11	双刀3阶变身	120001	1	30	4	-1	0	2	-1	2	-1
12	双刀3变普攻1	121001	1	1	5	-1	0	-1	120001	0	-1
13	双刀3变普攻2	122001	1	1	27	-1	0	-1	-1	0	-1
14	双刀3变连续技1	123001	1	30	6	-1	1	-1	-1	0	120001
15	双刀3变连续技2	124001	1	-1	12	-1	0	-1	-1	0	120002
16	双刀3变连续技3	125001	1	-1	13	-1	0	-1	-1	2	120003
17	双刀1阶变身	111001	1	11	7	-1	0	1	-1	0	-1
18	双刀1阶变身特殊技	112001	1	-1	9	-1	0	-1	-1	0	110004
19	双剑2阶变身普通攻击1	-1	1	1	10	-1	0	-1	113001	0	-1
20	双剑2阶变身普通攻击2	-1	1	1	25	-1	0	-1	-1	0	-1
21	双剑2阶变身普通攻击3	-1	1	1	26	-1	0	-1	-1	0	-1
