Id	Desc	Name	IsShowSkillName	IsAutoSelectTar	IsMoveToTarInAutoCombat	Icon 	ProfessionId	IsNeedWeapon	PriorityAutoFight	SkillClass	UseType	IsMove	IsMoveBreak	IsSkillBreak	IsBreakBeAttacked	TargetType	SelLogic	PlayAttackSound	IsNeedStopEffectId1	IsNeedStopEffectId2	NextIndex	ChangeMode0	ChangeMode1	ChangeMode2	ChangeMode3	FirstIndex	HasPublicCd	LevelUpIndex	SkillIntro	XpSkillIndex
INT	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
#MAX_ID=1000;MAX_RECORD=1000;TableType=Hash;																														
#本行程序不读 技能ID	描述	技能名称	是否显示技能名字	是否自动选择目标(只针对玩家技能有效)	是否需要在挂机中向目标移动(只针对玩家技能有效)	图标	职业（0少林 1天山 2大理 3逍遥 4丐帮）	是否需要武器	挂机时使用的优先级（只对玩家生效 除职业普攻外，-1默认挂机不释放也不可选取，0默认不释放但可选取，>0默认释放且可选取，数越大权重越高）	技能类型（1主动 2被动 4自动连续技 8XP技 16冲锋技 32读条技 64师门技能 128加持技能 256变身特殊技能 512骑乘冲锋)（同时符合两种或以上 累加）	施放类型（0瞬发 1吟唱 2被动）	释放时是否可以移动	移动是否打断	是否可以被其他技能打断	受攻击是否打断	目标类型（1 自己 2队友 4敌人 8右方 16主人）	选择逻辑（0单体 1群体 2自身 ）	附加攻击音效ID	技能结束时需要停止的特效（针对于那些带持续循环的技能特效 防止特效因为异常而没有停掉）	技能结束时需要停止的特效（针对于那些带持续循环的技能特效 防止特效因为异常而没有停掉）	下一个技能的编号	变身0（普通状态），状态下可用的非连续技填0，连续技填大于0的正数	变身1	变身2	变身3	该组第一个Index	是否有公共CD	客户端升级界面位置	技能的短暂介绍	XP技能的几阶变身 从1开始，非xp技能填-1
100	无	怪物普攻	0	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	与生俱来，顺应本能的攻击，有时也能爆发巨大的威力。	-1
203	十字斩1	十字连斩	0	1	1	SJSskill021	1	0	2	1	0	0	0	0	0	4	0	178	-1	-1	26	1	1	1	1	2	1	1	连续技·一：攻击前方范围多名敌人，并使附加“致死”效果：目标物理防御力降低，持续10s。	-1
204	死亡风暴	死亡风暴	0	1	1	SJSskill03	1	0	3	33	0	0	1	1	0	4	0	178	-1	-1	-1	0	0	0	0	3	1	2	施放死亡风暴时，由风暴中心向外呈环形产生剑刃，对周围敌人造成3s持续伤害	-1
205	突刺1	突刺	0	1	1	SJSskill011	1	0	2	17	0	0	0	0	0	4	0	178	-1	-1	24	2	2	2	2	1	1	0	三段连续技：每段突刺到目标身后，并对突进路径上所有单位造成伤害，每次攻击为自身附加“轻灵”效果，提高闪避几率，持续3秒。	-1
210	突刺2	突刺	0	1	1	SJSskill012	1	0	2	17	0	0	0	0	0	4	0	178	-1	-1	25	2	2	2	2	1	0	-1	三段连续技：每段突刺到目标身后，并对突进路径上所有单位造成伤害，每次攻击为自身附加“轻灵”效果，提高闪避几率，持续3秒。	-1
211	突刺3	突刺	0	1	1	SJSskill013	1	0	2	17	0	0	0	0	0	4	0	178	-1	-1	1	2	2	2	2	1	0	-1	三段连续技：每段突刺到目标身后，并对突进路径上所有单位造成伤害，每次攻击为自身附加“轻灵”效果，提高闪避几率，持续3秒。	-1
212	双剑普攻1	双剑普攻	0	1	1	SJSAttack	1	1	1	5	0	0	0	1	0	4	1	178	-1	-1	21	3	3	-1	-1	0	0	-1	对自身面前1扇形范围造成连续4次物理伤害	-1
