SkillExID	Desc	BaseId	SkillDesc	level	CombatValue	SkillLogic	LogicParam01	LogicParam02	LogicParam03	LogicParam04	RefixThreat	Radius	CDTimeId	SkillDelayTime	SkillContinueTime	YinChangTime	DelType_01	DelNum_01	DelType_02	DelNum_02	GainsType_01	GainsNum_01	GainsType_02	GainsNum_02	NextSkillId	Impact_01	Impact_2	Impact_03	Impact_04	Impact_05	Impact_06	SatrtMotionId	EndMotionId	CameraRockId	CameraRockRate	SceneEffectId	BulletEffectID_01	BulletEffectID_02	BulletEffectID_03	RangeEffectType	RangeEffectTarType	RangeEffectSize01	RangeEffectSize02	NextSkillEffectTime	NextSkillDisabledTime	SkillCacheTime	HasRangeWarning	NextContinueSkillId
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=20000;TableType=Hash;																																																
#程序不读 ID	描述	对应SkillBaseId	技能描述	技能等级	战斗力评分	技能逻辑ID	逻辑参数1	逻辑参数2	逻辑参数3	逻辑参数4	仇恨值修正	范围半径	CDTimeId	技能延迟生效时间（毫秒）	技能持续时间（毫秒）	吟唱时间(单位:毫秒)	消耗1类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比 401金币）	消耗1数值	消耗2类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比 401金币）	消耗2数值	收益1类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比）	收益1数值	收益2类型（101 血值 102 血百分比 201蓝值 202蓝百分比 301战意值 302战意百分比）	收益2数值	下一个技能	效果1ID	效果2ID	效果3ID	效果4ID	效果5ID	效果6ID	起始动作ID	终止动作ID	震屏ID	震屏权重	技能全屏特效ID	子弹1特效ID	子弹2特效ID	子弹3特效ID	范围特效类型（-1 无需求 0 环形 1圆形 2矩形 3箭头 4半圆）	范围特效的目标类型（-1 无需求 0自身 1目标对象）	范围特效大小1(圆的半径 环的外圆半径 矩形的长 箭头的朝向（180表示正前方） 半圆半径)	范围特效大小2（矩形的宽）	下一个技能可点击的默认时间	下个技能不可生效的时间	技能缓存时间	"技能是否有预警(0没有,1有)"	下一个连续技能ID
10000	怪物普攻	100	怪物普攻	1	0	0	-1	-1	-1	-1	0	2	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
10003	怪物远程普攻	100	怪物远程普攻	1	0	0	-1	-1	-1	-1	0	10	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
10008	怪物远程普攻2	774	怪物远程普攻2	1	0	0	-1	-1	-1	-1	0	6	0	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	7001	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50000	动物型伙伴技能（物理普攻）	500	攻击1个敌人，每秒造成[a2ff00]100%[-]外功伤害	1	0	0	-1	-1	-1	-1	0	2	47	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	5001	-1	-1	-1	-1	-1	141	141	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50001	火焰弹1级	501	对目标造成[a2ff00]105%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	183	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500101	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50002	火焰弹2级	501	对目标造成[a2ff00]110%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	183	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500102	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50003	火焰弹3级	501	对目标造成[a2ff00]115%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	184	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500103	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
