Id	Desc	Profession	Level	NeedSkillId	NextSkillId	PreSkillId	SkillLevel	NeedConsume	NeedCoin	NeedItemId	NeedItemCount
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=10000;TableType=Hash;											
#本行程序不读 技能ID	描述	需要的职业	需要的等级	需要学会的技能	下一级技能	上一级技能	技能等级	需要消耗的真气	需要消耗的金币	需要消耗的ItemId	需要消耗的数量
105001	十字斩1段1级	1	7	105001	105002	-1	1	0	100	-1	0
105002	十字斩1段2级	1	7	105002	105003	105001	2	0	200	-1	0
105003	十字斩1段3级	1	7	105003	105004	105002	3	0	300	-1	0
105004	十字斩1段4级	1	7	105004	105005	105003	4	0	400	-1	0
105005	十字斩1段5级	1	7	105005	105006	105004	5	0	500	-1	0
105006	十字斩1段6级	1	7	105006	105007	105005	6	0	650	-1	0
105007	十字斩1段7级	1	7	105007	105008	105006	7	0	800	-1	0
105008	十字斩1段8级	1	8	105008	105009	105007	8	0	1000	-1	0
105009	十字斩1段9级	1	9	105009	105010	105008	9	0	1200	-1	0
105010	十字斩1段10级	1	10	105010	105011	105009	10	0	1400	-1	0
105011	十字斩1段11级	1	11	105011	105012	105010	11	0	1700	-1	0
105012	十字斩1段12级	1	12	105012	105013	105011	12	0	1900	-1	0
105013	十字斩1段13级	1	13	105013	105014	105012	13	0	2100	-1	0
105014	十字斩1段14级	1	14	105014	105015	105013	14	0	2400	-1	0
105015	十字斩1段15级	1	15	105015	105016	105014	15	0	2700	-1	0
105016	十字斩1段16级	1	16	105016	105017	105015	16	0	3100	-1	0
105017	十字斩1段17级	1	17	105017	105018	105016	17	0	3500	-1	0
105018	十字斩1段18级	1	18	105018	105019	105017	18	0	3900	-1	0
105019	十字斩1段19级	1	19	105019	105020	105018	19	0	4300	-1	0
105020	十字斩1段20级	1	20	105020	105021	105019	20	0	4800	-1	0
105021	十字斩1段21级	1	21	105021	105022	105020	21	0	5300	-1	0
105022	十字斩1段22级	1	22	105022	105023	105021	22	0	5900	-1	0
105023	十字斩1段23级	1	23	105023	105024	105022	23	0	6500	-1	0
105024	十字斩1段24级	1	24	105024	105025	105023	24	0	7200	-1	0
105025	十字斩1段25级	1	25	105025	105026	105024	25	0	7900	-1	0
105026	十字斩1段26级	1	26	105026	105027	105025	26	0	8700	-1	0
105027	十字斩1段27级	1	27	105027	105028	105026	27	0	9500	-1	0
105028	十字斩1段28级	1	28	105028	105029	105027	28	0	10400	-1	0
105029	十字斩1段29级	1	29	105029	105030	105028	29	0	11300	-1	0
105030	十字斩1段30级	1	30	105030	105031	105029	30	0	12300	-1	0
105031	十字斩1段31级	1	31	105031	105032	105030	31	0	13300	-1	0
105032	十字斩1段32级	1	32	105032	105033	105031	32	0	14400	-1	0
105033	十字斩1段33级	1	33	105033	105034	105032	33	0	15600	-1	0
105034	十字斩1段34级	1	34	105034	105035	105033	34	0	16900	-1	0
105035	十字斩1段35级	1	35	105035	105036	105034	35	0	18200	-1	0
105036	十字斩1段36级	1	36	105036	105037	105035	36	0	19600	-1	0
105037	十字斩1段37级	1	37	105037	105038	105036	37	0	21000	-1	0
105038	十字斩1段38级	1	38	105038	105039	105037	38	0	22600	-1	0
105039	十字斩1段39级	1	39	105039	105040	105038	39	0	24200	-1	0
105040	十字斩1段40级	1	40	105040	105041	105039	40	0	25900	-1	0
105041	十字斩1段41级	1	41	105041	105042	105040	41	0	27600	-1	0
105042	十字斩1段42级	1	42	105042	105043	105041	42	0	29500	-1	0
105043	十字斩1段43级	1	43	105043	105044	105042	43	0	31400	-1	0
105044	十字斩1段44级	1	44	105044	105045	105043	44	0	33500	-1	0
105045	十字斩1段45级	1	45	105045	105046	105044	45	0	35600	-1	0
105046	十字斩1段46级	1	46	105046	105047	105045	46	0	37800	-1	0
105047	十字斩1段47级	1	47	105047	105048	105046	47	0	40100	-1	0
105048	十字斩1段48级	1	48	105048	105049	105047	48	0	42500	-1	0
105049	十字斩1段49级	1	49	105049	105050	105048	49	0	45000	-1	0
105050	十字斩1段50级	1	50	105050	105051	105049	50	0	47600	-1	0
105051	十字斩1段51级	1	51	105051	105052	105050	51	0	50300	-1	0
105052	十字斩1段52级	1	52	105052	105053	105051	52	0	53100	-1	0
105053	十字斩1段53级	1	53	105053	105054	105052	53	0	56000	-1	0
105054	十字斩1段54级	1	54	105054	105055	105053	54	0	59000	-1	0
105055	十字斩1段55级	1	55	105055	105056	105054	55	0	62100	-1	0
105056	十字斩1段56级	1	56	105056	105057	105055	56	0	65400	-1	0
105057	十字斩1段57级	1	57	105057	105058	105056	57	0	68700	-1	0
105058	十字斩1段58级	1	58	105058	105059	105057	58	0	72200	-1	0
105059	十字斩1段59级	1	59	105059	105060	105058	59	0	75800	-1	0
105060	十字斩1段60级	1	60	105060	105061	105059	60	0	79500	-1	0
105061	十字斩1段61级	1	61	105061	105062	105060	61	0	83300	-1	0
105062	十字斩1段62级	1	62	105062	105063	105061	62	0	87300	-1	0
105063	十字斩1段63级	1	63	105063	105064	105062	63	0	91400	-1	0
105064	十字斩1段64级	1	64	105064	105065	105063	64	0	95600	-1	0
105065	十字斩1段65级	1	65	105065	105066	105064	65	0	99900	-1	0
105066	十字斩1段66级	1	66	105066	105067	105065	66	0	104400	-1	0
105067	十字斩1段67级	1	67	105067	105068	105066	67	0	109000	-1	0
105068	十字斩1段68级	1	68	105068	105069	105067	68	0	113800	-1	0
105069	十字斩1段69级	1	69	105069	105070	105068	69	0	118700	-1	0
105070	十字斩1段70级	1	70	105070	105071	105069	70	0	123700	-1	0
105071	十字斩1段71级	1	71	105071	105072	105070	71	0	128900	-1	0
105072	十字斩1段72级	1	72	105072	105073	105071	72	0	134200	-1	0
105073	十字斩1段73级	1	73	105073	105074	105072	73	0	139600	-1	0
105074	十字斩1段74级	1	74	105074	105075	105073	74	0	145200	-1	0
105075	十字斩1段75级	1	75	105075	105076	105074	75	0	151000	-1	0
