Id	Desc	BelongToChapterID	LevelName	LevelInfo	SceneClassID	ObstaclesID	PreMission	CheckMission	TimesPerDay	ScriptID	StarCondition1	StarCondition2	StarCondition3	StarReward1	StarReward2	StarReward3	StarDescrib1	StarDescrib2	StarDescrib3	PassReward	SweepReward	LevelTexture	CombatValue	ExistTime	Buyback1	Buyback2
INT	STRING	INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;																										
#ID	描述	所属章节ID	关卡名称	关卡详情	场景ID（对应SceneClass表）	地图上需要添加的阻挡ID	开启条件：需完成的任务编号（对应MissionBase表）；若为-1则表示通过上一关卡自动开启本关卡	检查MissionID如果存在，不扣次数	每天限制完成次数	副本脚本ID（对应ScriptData表）	1星达成条件ID（对应StarCondition表）	2星达成条件ID（对应StarCondition表）	3星达成条件ID（对应StarCondition表）	1星奖励ID（对应StoryCopySceneAward表）	2星奖励ID（对应StoryCopySceneAward表）	3星奖励ID（对应StoryCopySceneAward表）	1星条件描述ID（对应StrDictionary表）	2星条件描述ID（对应StrDictionary表）	3星条件描述ID（对应StrDictionary表）	通过奖励ID（对应StoryCopySceneAward表）	扫荡奖励ID（对应StoryCopySceneAward表）	关卡图片	推荐战力	副本存在时间(单位:秒)	回购价格	活动期间回购价格
0	第一章第一关	1	自然复仇	被人类侵占领地、残害子民的女王蜂获得了向人类复仇的力量，带领着枯树精入侵了雨林中的城镇	8	6_7	18	19	10	8199	0	22	20	0	1	2	10301	10533	10534	19	23	shulin01	5100	600	10	50
1	第一章第二关	1	可疑地点	附近的小孩们神秘失踪，莉莉丝发现了一个可疑地点，在那里的会是什么呢？	24	30_31_32_33	27	28	10	8199	0	22	20	3	4	5	10301	10533	10534	20	24	shamo01	6300	600	10	50
2	第一章第三关	1	营救	终于找到了失踪孩童的下落，本以为可以轻松解决，但是等在那里的，却是一个可怕的恶魔	25	34_35	44	45	10	8199	0	22	20	6	7	8	10301	10533	10534	21	25	shamo02	7300	600	10	50
3	第一章第四关	1	真相大白	救回了孩子们，为何瑟克萨斯先生表情凝重？重回故地，在这里会发生什么？	26	34_35	49	50	10	8199	0	22	20	9	10	11	10301	10533	10534	22	26	shamo03	7700	600	20	100
4	第二章第一关	2	死地	在血色冰封的研究所已经被僵尸们占领了，但是我必须闯进去救出困在里面的黑伊尔！	40	38_39_40_41_42	-1	162	10	8199	0	22	20	30	31	32	10301	10533	10534	49	53	xueyuan01	11300	600	20	100
5	第二章第二关	2	僵尸埋伏	再次回到血色冰封，却遭到了本不该有智力的僵尸的埋伏，这其中一定有鬼！	41	38_39_41	-1	173	10	8199	0	22	20	33	34	35	10301	10533	10534	50	54	xueyuan02	11700	600	20	100
6	第二章第三关	2	罪魁祸首	突破了魔王兵的重重阻碍，等在前面的幕后黑手，到底是谁？	42	49_50	-1	-1	10	8199	0	26	31	36	37	38	10301	11075	11503	51	55	xueyuan03	21700	240	10	50
7	第二章第四关	2	护卫	前往黄昏湖畔支援皮亚索拉，却发现他被一群兽人围攻，救人迫在眉睫。	44	53	-1	-1	10	8199	0	30	31	39	40	41	10301	11502	11503	52	56	shulin01	24800	240	10	50
8	第三章第一关	3	潜入营地	变装潜入兽人营地，希望不要被发现……	45	54_55	-1	-1	10	8199	0	32	35	60	61	62	10301	11504	11507	79	83	shulin01	44700	180	10	50
9	第三章第二关	3	调查遗迹	前往黄昏湖畔的奇怪遗迹，那里到底会有些什么东西？	46	55_56	-1	-1	10	8199	0	36	35	63	64	65	10301	11509	11507	80	84	shamo03	48700	150	20	100
10	第三章第3关	3	护法	莉莉丝需要用草药恢复魔力，这段时间内一定要保护好她。	47	57_58	-1	185	10	8199	0	36	31	66	67	68	10301	11509	11503	81	85	jixiedushi01	53100	240	20	100
