Id	Desc	Coin	Exp	FellowExp	BindYuanBao	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3	ItemID4	ItemNum4
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=1024;TableType=Hash;													
#ID	描述	金币	经验	宠物经验	绑定元宝	物品1ID	物品1数量	物品2ID	物品2数量	物品3ID	物品3数量	物品4ID	物品4数量
0	第一章第一关一星奖励	780	0	0	0	4012	5	-1	-1	-1	-1	-1	-1
1	第一章第一关二星奖励	2340	0	0	0	4022	5	-1	-1	-1	-1	-1	-1
2	第一章第一关三星奖励	4680	0	0	0	23	3	-1	-1	-1	-1	-1	-1
3	第一章第二关一星奖励	1200	0	0	0	59	10	-1	-1	-1	-1	-1	-1
4	第一章第二关二星奖励	3600	0	0	0	4031	10	-1	-1	-1	-1	-1	-1
5	第一章第二关三星奖励	7200	0	0	0	23	5	-1	-1	-1	-1	-1	-1
6	第一章第三关一星奖励	1710	0	0	0	4012	10	-1	-1	-1	-1	-1	-1
7	第一章第三关二星奖励	5130	0	0	0	4022	10	-1	-1	-1	-1	-1	-1
8	第一章第三关三星奖励	10260	0	0	0	60	1	-1	-1	-1	-1	-1	-1
9	第一章第四关一星奖励	1900	0	0	0	4012	10	-1	-1	-1	-1	-1	-1
10	第一章第四关二星奖励	5700	0	0	0	4022	10	-1	-1	-1	-1	-1	-1
11	第一章第四关三星奖励	11400	0	0	0	24	10	-1	-1	-1	-1	-1	-1
12	第一章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
13	第一章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
14	第一章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
15	第一章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
16	第一章第一关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	第一章第二关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	第一章第三关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	第一章第一关普通奖励	500	1000	333	0	-1	-1	-1	-1	-1	-1	-1	-1
20	第一章第二关普通奖励	600	2000	666	0	-1	-1	-1	-1	-1	-1	-1	-1
21	第一章第三关普通奖励	700	3500	1166	0	-1	-1	-1	-1	-1	-1	-1	-1
