Id	Desc	SectionNum	StartPosX1	StartPosZ1	StartDir1	Trigger1	GuidePoseX1	GuidePoseZ1	EnemyNPCBornDelay1	DynamicObstacleOpen1	DynamicObstacleClose1	StartCutSceneID1	FinishCutSceneID1	StartPosX2	StartPosZ2	StartDir2	Trigger2	GuidePoseX2	GuidePoseZ2	EnemyNPCBornDelay2	DynamicObstacleOpen2	DynamicObstacleClose2	StartCutSceneID2	FinishCutSceneID2	StartPosX3	StartPosZ3	StartDir3	Trigger3	GuidePoseX3	GuidePoseZ3	EnemyNPCBornDelay3	DynamicObstacleOpen3	DynamicObstacleClose3	StartCutSceneID3	FinishCutSceneID3
INT	STRING	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;																																			
#潜规则-必须与StoryCopyScene表ID对应	描述，策划维护，此列程序不读	一共几个战斗阶段	第一阶段出生位置X	第一阶段出生位置Z	第一阶段出生朝向(弧度数值)	第一阶段触发器名字	第一阶段完成后的引路目标X	第一阶段完成后的引路目标Z	第一阶段怪物出生延迟时间(毫秒)	第一阶段结束时打开的动态阻挡ID	第一阶段开始时关闭的动态阻挡ID	第一阶段开始时的过场动画ID	第一阶段结束时的过场动画ID	第二阶段出生位置X	第二阶段出生位置Z	第二阶段出生朝向(弧度数值)	第二阶段触发器名字	第二阶段完成后的引路目标X	第二阶段完成后的引路目标Z	第二阶段怪物出生延迟事件(毫秒)	第二阶段结束时打开的动态阻挡ID	第二阶段开始时关闭的动态阻挡ID	第二阶段开始时的过场动画ID	第二阶段结束时的过场动画ID	第三阶段出生位置X	第三阶段出生位置Z	第三阶段出生朝向(弧度数值)	第三阶段触发器名字	第三阶段完成后的引路目标X	第三阶段完成后的引路目标Z	第三阶段怪物出生延迟事件(毫秒)	第三阶段结束时打开的动态阻挡ID	第三阶段开始时关闭的动态阻挡ID	第三阶段开始时的过场动画ID	第三阶段结束时的过场动画ID
0	剧情副本1	2	0	0	1.57	-1	0	0	0	6	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	6	7	0	0	0	-1	0	0	0	-1	-1	-1	-1
1	剧情副本2（替代）	2	0	0	0	9	8.59	13.14	0	32	31	10	-1	0	0	0	10	0	0	0	-1	-1	11	8	0	0	0	-1	0	0	0	-1	-1	-1	-1
2	剧情副本3（替代）	1	0	0	0	-1	0	0	0	-1	-1	12	13	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1
3	剧情副本4（替代）	1	0	0	0	-1	0	0	0	-1	-1	14	15	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1
4	剧情副本5	3	0	0	0	-1	14.29	70.28	0	40	-1	-1	-1	0	0	0	11	14.52	53.8	0	41	-1	42	-1	0	0	0	12	0	0	0	-1	-1	43	44
5	剧情副本6	3	0	0	0	-1	0	0	1000	-1	-1	45	-1	0	0	0	13	0	0	1000	-1	-1	-1	-1	0	0	0	13	0	0	3000	-1	-1	46	-1
6	剧情副本7	3	0	0	0	-1	0	0	0	-1	51	47	-1	0	0	0	14	0	0	0	51	-1	-1	-1	0	0	0	14	0	0	0	-1	-1	49	50
7	黄昏湖畔剧情副本1	3	0	0	0	-1	0	0	0	-1	-1	51	-1	0	0	0	15	0	0	0	-1	-1	52	-1	0	0	0	15	0	0	0	-1	-1	53	54
8	黄昏湖畔剧情副本2	1	0	0	0	-1	0	0	0	-1	-1	55	-1	0	0	0	-1	0	0	0	-1	-1	56	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1
9	黄昏湖畔剧情副本3	3	0	0	0	-1	0	0	0	-1	-1	57	-1	0	0	0	30	0	0	0	-1	-1	-1	-1	0	0	0	30	0	0	0	-1	-1	-1	58
10	黄昏之湖剧情副本1	3	0	0	0	-1	0	0	0	-1	-1	59	-1	0	0	0	16	0	0	0	-1	-1	-1	-1	0	0	0	16	0	0	0	-1	-1	-1	60
11	黄昏之湖剧情副本2	2	0	0	0	-1	33.98	73.38	0	62	-1	-1	-1	0	0	0	17	0	0	0	-1	-1	-1	61	0	0	0	-1	0	0	0	-1	-1	-1	-1
