Id	Desc	SceneClassID	DataID	PosX	PosZ	FaceDirection	Section	BornWhenEnterScene	KeyEnemy
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT
#MAX_ID=4999;MAX_RECORD=5000;TableType=Hash;									
#唯一标示	描述，策划维护，此列程序不读	所属场景	DataID	位置X	位置Z	Npc朝向(弧度数值)	第几阶段的怪	是否刚进副本就出生	是否必须杀死
1	暮色雨林剧情副本1枯树精	8	46	79.01	10.41	0	1	1	1
2	暮色雨林剧情副本1枯树精	8	46	81.86	10.72	-1.57	1	1	1
3	暮色雨林剧情副本1枯树精	8	46	84.67	10.39	3.14	1	1	1
4	暮色雨林剧情副本1枯树精	8	51	82.02	23.12	-1.57	2	1	1
5	暮色雨林剧情副本1枯树精	8	51	80.07	19.14	0.78	2	1	1
6	暮色雨林剧情副本1枯树精	8	51	79.22	20.82	0	2	1	1
7	暮色雨林剧情副本1枯树精	8	51	80.24	22.58	-0.78	2	1	1
8	暮色雨林剧情副本1枯树精	8	51	83.81	20.29	3.14	2	1	1
9	暮色雨林剧情副本1枯树精	8	51	83.84	22.75	-2.35	2	1	1
10	暮色雨林剧情副本1大枯树精	8	47	81.04	19.38	-1.57	2	0	1
11	黄昏要塞剧情副本1僵尸囚犯	19	75	34.02651	87.11991	0	1	1	1
12	黄昏要塞剧情副本1僵尸囚犯	19	75	34.26067	90.30968	0	1	1	1
13	黄昏要塞剧情副本1僵尸囚犯	19	75	31.01545	87.21542	0	1	1	1
14	黄昏要塞剧情副本1僵尸囚犯	19	75	31.65768	91.43332	0	1	1	1
15	黄昏要塞剧情副本1僵尸囚犯	19	75	28.53351	88.98759	0	1	1	1
16	黄昏要塞剧情副本1僵尸囚犯	19	75	29.10139	91.26192	0	1	1	1
17	黄昏要塞剧情副本1僵尸囚犯	19	75	17.43	91.32	0	2	0	1
18	黄昏要塞剧情副本1僵尸囚犯	19	75	17.24	86.77	0	2	0	1
19	黄昏要塞剧情副本1木乃伊	19	76	16.11599	89.8559	0	2	0	1
20	黄昏边境剧情副本3莉莉丝	11	48	10.44811	5.924856	-0.785	1	1	0
21	黄昏要塞剧情副本2黄昏食人魔	20	77	46.65299	73.35986	3.14	1	1	1
22	黄昏要塞剧情副本2黄昏食人魔	20	77	47.21076	76.51648	3.14	1	1	1
23	黄昏要塞剧情副本2黄昏食人魔	20	77	47.10614	79.24051	3.14	1	1	1
24	黄昏要塞剧情副本2黄昏食人魔	20	77	46.81537	81.30238	3.14	1	1	1
25	黄昏要塞剧情副本2黄昏食人魔	20	77	50.17038	73.60467	3.14	1	1	1
26	黄昏要塞剧情副本2黄昏食人魔	20	77	50.20554	76.50426	3.14	1	1	1
27	黄昏要塞剧情副本2黄昏食人魔	20	77	50.39099	79.23242	3.14	1	1	1
28	黄昏要塞剧情副本2黄昏食人魔	20	77	50.0829	81.83287	3.14	1	1	1
29	黄昏要塞副本2牛头守卫	20	78	59.57465	82.33523	3.14	2	0	1
30	黄昏要塞副本2牛头守卫	20	78	59.55834	79.61541	3.14	2	0	1
31	黄昏要塞副本2牛头守卫	20	78	59.647	76.62782	3.14	2	0	1
32	黄昏要塞副本2牛头守卫	20	78	63.35928	82.4761	3.14	2	0	1
33	黄昏要塞副本2牛头守卫	20	78	63.71437	79.48386	3.14	2	0	1
