Id	Desc	ScriptID	MissionID	ClientStoryID
INT	STRING	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;				
#id唯一标示	策划维护，程序不读	脚本ID	关联任务ID	ClientStoryTable.txt表ID
1	任务1	-1	0	1
2	任务3	-1	2	2
3	任务5	-1	4	3
4	任务8	-1	8	4
5	任务9	-1	9	5
6	任务11	-1	11	6
7	任务12	-1	12	7
8	任务52	-1	52	8
9	任务16	-1	16	9
10	任务18	-1	18	10
11	任务53	-1	53	11
12	任务54	-1	54	12
13	任务23	-1	23	13
14	任务25	-1	25	14
15	任务26	-1	26	15
16	任务27	-1	27	16
17	任务56	-1	56	17
18	任务57	-1	57	18
19	任务30	-1	30	19
20	任务32	-1	32	20
21	任务59	-1	59	21
22	任务34	-1	34	22
23	任务36	-1	36	23
24	任务60	-1	60	24
25	任务38	-1	38	25
26	任务39	-1	39	26
27	任务40	-1	14	27
28	任务41	-1	41	28
29	任务42	-1	42	29
30	任务61	-1	61	30
31	任务62	-1	62	31
32	任务46	-1	46	32
33	任务47	-1	47	33
34	任务49	-1	49	34
35	任务63	-1	63	35
36	任务64	-1	64	36
37	任务66	-1	66	37
38	任务67	-1	67	38
39	任务70	-1	70	39
40	任务71	-1	71	40
41	任务72	-1	72	41
42	任务78	-1	78	42
43	任务85	-1	85	43
44	任务89	-1	89	44
45	任务92	-1	92	45
46	任务94	-1	94	46
47	任务95	-1	95	47
48	任务48	-1	99	48
49	任务101	-1	101	49
50	任务104	-1	104	50
51	任务105	-1	105	51
52	任务107	-1	107	52
53	任务108	-1	108	53
54	任务111	-1	111	54
55	任务114	-1	114	55
56	任务117	-1	117	56
57	任务120	-1	120	57
58	任务124	-1	124	58
60	任务128	-1	128	60
61	任务130	-1	130	61
62	任务132	-1	132	62
63	任务135	-1	135	63
64	任务139	-1	139	64
65	任务142	-1	142	65
66	任务144	-1	144	66
67	任务145	-1	145	67
68	任务146	-1	146	68
69	任务148	-1	148	69
70	任务152	-1	152	70
71	【主】状况不明	-1	155	110
72	【主】事先准备	-1	156	111
73	【主】贵妇	-1	158	112
74	【主】学者下落	-1	161	113
75	cabal1_【开场】小怪嚣张	3020	-1	74
76	cabal2_【开场】BOSS出场	3020	-1	75
77	cabal4_【开场】玩家独白	3020	-1	76
78	cabal8_【开场】BOSS挑衅	3020	-1	77
79	cabal9_【开场】玩家自傲	3020	-1	78
80	cabal10_【开场】BOSS嘲讽	3020	-1	79
81	cabal3_【开场】BOSS炸车	3020	-1	80
82	cabal5_【开场】小怪阻挠1	3020	-1	81
83	cabal6_【开场】小怪阻挠2	3020	-1	82
84	cabal7_【开场】玩家阻挠	3020	-1	83
85	cabal8_【开场】进沙漠后BOSS挑衅	3020	-1	84
86	主线	-1	217	262
87	主线	-1	29	88
88	主线	-1	226	88
89	暮色雨林副本对话1	-1	-1	85
90	暮色雨林副本对话2	-1	-1	86
91	暮色雨林副本对话3	-1	-1	87
92	任务74	-1	74	88
93	任务76	-1	76	88
94	任务81	-1	81	249
95	任务82	-1	82	88
96	任务86	-1	86	88
97	任务90	-1	90	88
98	任务98	-1	98	88
99	任务113	-1	307	88
100	任务118	-1	118	88
101	任务119	-1	308	88
102	任务123	-1	309	88
103	任务131	-1	310	88
104	任务137	-1	312	88
105	任务141	-1	313	88
106	任务151	-1	314	259
107	黄昏边境剧情副本1对话1	-1	-1	89
108	黄昏边境剧情副本1对话2	-1	-1	90
109	黄昏边境剧情副本1对话3	-1	-1	91
110	黄昏边境剧情副本2对话1	-1	-1	92
111	黄昏边境剧情副本2对话2	-1	-1	93
112	黄昏边境剧情副本3对话1	-1	-1	94
113	黄昏边境剧情副本3对话2	-1	-1	95
114	黄昏边境剧情副本3对话3	-1	-1	96
115	黄昏边境剧情副本4对话1	-1	-1	97
116	黄昏边境剧情副本4对话2	-1	-1	98
117	黄昏要塞剧情副本1对话1	-1	-1	99
118	黄昏要塞剧情副本1对话2	-1	-1	100
119	黄昏要塞剧情副本2对话1	-1	-1	101
120	黄昏要塞剧情副本2对话2	-1	-1	102
121	黄昏要塞剧情副本2对话3	-1	-1	103
122	黄昏要塞剧情副本2对话4	-1	-1	104
