Id	DESC	szString	type_1	type_2
INT	STRING	STRING	BOOL	BOOL
#预留				
#过滤词汇	描述，策划维护	过滤词汇	聊天	命名
0		结婚	0	1
1		强化	0	1
2		节日	0	1
3		伙伴	0	1
4		商人	0	1
5		活动	0	1
6		伙伴	0	1
7		任务	0	1
8		商人	0	1
9		节日	0	1
10		强化	0	1
11		帮会	0	1
12		奖励	0	1
13		仓库	0	1
14		（達癩	1	1
15		（盜竊	1	1
16		（放蕩	1	1
17		（熱比婭	1	1
18		（伊斯蘭亞格林尼斯	1	1
19		*法*轮*功*	1	1
20		*法*轮*功*靠	1	1
21		*李*洪*志*	1	1
22		*李*洪*志*靠	1	1
23		.ad	1	1
24		.ae	1	1
25		.aero	1	1
26		.af	1	1
27		.ag	1	1
28		.ai	1	1
29		.al	1	1
30		.am	1	1
31		.an	1	1
32		.ao	1	1
33		.aq	1	1
34		.ar	1	1
35		.arpa	1	1
36		.as	1	1
37		.at	1	1
38		.au	1	1
39		.aw	1	1
40		.az	1	1
41		.ba	1	1
42		.bb	1	1
43		.bd	1	1
44		.be	1	1
45		.bf	1	1
46		.bg	1	1
47		.bh	1	1
48		.bi	1	1
49		.biz	1	1
50		.bj	1	1
51		.bm	1	1
52		.bn	1	1
53		.bo	1	1
54		.br	1	1
55		.bs	1	1
56		.bt	1	1
57		.bv	1	1
58		.bw	1	1
59		.by	1	1
60		.bz	1	1
61		.ca	1	1
62		.cc	1	1
63		.cf	1	1
64		.cg	1	1
65		.ch	1	1
66		.ci	1	1
67		.ck	1	1
68		.cl	1	1
69		.cm	1	1
70		.cn	1	1
71		.co	1	1
72		.com	1	1
73		.coop	1	1
74		.cq	1	1
75		.cr	1	1
76		.cu	1	1
77		.cv	1	1
78		.cx	1	1
79		.cy	1	1
80		.cz	1	1
81		.de	1	1
82		.dj	1	1
83		.dk	1	1
84		.dm	1	1
85		.do	1	1
86		.dz	1	1
87		.ec	1	1
88		.edu	1	1
89		.ee	1	1
90		.eg	1	1
91		.eh	1	1
92		.es	1	1
93		.et	1	1
94		.ev	1	1
95		.fi	1	1
96		.fj	1	1
97		.fk	1	1
98		.fm	1	1
99		.fo	1	1
100		.fr	1	1
101		.ga	1	1
102		.gb	1	1
103		.gd	1	1
104		.ge	1	1
105		.gf	1	1
106		.gh	1	1
107		.gi	1	1
108		.gl	1	1
109		.gm	1	1
110		.gn	1	1
111		.gov	1	1
112		.gp	1	1
113		.gr	1	1
114		.gt	1	1
115		.gu	1	1
116		.gw	1	1
117		.gy	1	1
118		.hk	1	1
119		.hm	1	1
120		.hn	1	1
121		.hr	1	1
122		.ht	1	1
123		.hu	1	1
124		.id	1	1
125		.ie	1	1
126		.il	1	1
127		.in	1	1
128		.info	1	1
129		.int	1	1
130		.io	1	1
131		.iq	1	1
132		.ir	1	1
133		.is	1	1
134		.it	1	1
135		.jm	1	1
136		.jo	1	1
137		.jp	1	1
138		.ke	1	1
139		.kg	1	1
140		.kh	1	1
141		.ki	1	1
142		.km	1	1
143		.kn	1	1
144		.kp	1	1
145		.kr	1	1
146		.kw	1	1
147		.ky	1	1
148		.kz	1	1
149		.la	1	1
150		.lb	1	1
151		.lc	1	1
152		.li	1	1
153		.lk	1	1
154		.lr	1	1
155		.ls	1	1
156		.lt	1	1
157		.lu	1	1
158		.lv	1	1
159		.ly	1	1
160		.ma	1	1
161		.mc	1	1
162		.md	1	1
163		.mg	1	1
164		.mh	1	1
165		.mil	1	1
166		.ml	1	1
167		.mm	1	1
168		.mn	1	1
169		.mo	1	1
170		.mp	1	1
171		.mq	1	1
172		.mr	1	1
173		.ms	1	1
