Id	Desc	Type	InvestitiveDescription	InvestitiveName	IsImmotile	Prioirity	ColorLevel	CanDeleteByPlayer	OwnerTime	BroadCastDic
INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;										
#ID	描述(程序不读)	称号类型（0~7为自定义称号，之后为系统称号）	称号描述(游戏中可能会显示)	称号名	是否强制显示	显示优先级	颜色等级	是否可手动删除(1:是 0:否)	拥有时间(单位:小时)	广播字典号
1	公会称号 -会长	0	标识会长的称号	会长	0	1	5	0	-1	-1
2	公会称号 - 副会长	0	标识副会长的称号	副会长	0	1	4	0	-1	-1
3	公会称号 - 成员	0	标识公会的称号	成员	0	1	1	0	-1	-1
4	夫妻称号 - 老公	-1	标识老公的称号	的相公	0	4	4	0	-1	-1
5	夫妻称号 - 老婆	-1	标识老婆的称号	的娘子	0	4	4	0	-1	-1
6	师门称号 - 掌门	-1	标识师门掌门的称号	导师	0	1	4	0	-1	3087
7	师门称号 - 弟子	-1	标识师门弟子的称号	徒弟	0	1	1	0	-1	-1
8	职业领袖 - 双剑士第一名	8	双剑士第一名	狂战士之神	0	2	5	0	24	-1
9	职业领袖 - 双剑士第二名	8	双剑士第二名	狂战士之王	0	2	4	0	24	-1
10	职业领袖 - 双剑士第三名	8	双剑士第三名	狂战士领队	0	2	4	0	24	-1
11	职业领袖 - 双剑士第4-20名	8	双剑士排行上榜称号	狂战士菁英	0	2	3	0	24	-1
12	职业领袖 - 狂战士第一名	8	狂战士第一名	双剑士之神	0	2	5	0	24	-1
13	职业领袖 - 狂战士第二名	8	狂战士第二名	双剑士之王	0	2	4	0	24	-1
14	职业领袖 - 狂战士第三名	8	狂战士第三名	双剑士领队	0	2	4	0	24	-1
15	职业领袖 - 狂战士第4-20名	8	狂战士排行上榜称号	双剑士菁英	0	2	3	0	24	-1
16	职业领袖 - 魔导士第一名	8	魔导士第一名	弓箭手之神	0	2	5	0	24	-1
17	职业领袖 - 魔导士第二名	8	魔导士第二名	弓箭手之王	0	2	4	0	24	-1
18	职业领袖 - 魔导士第三名	8	魔导士第三名	弓箭手领队	0	2	4	0	24	-1
19	职业领袖 - 魔导士第4-20名	8	魔导士排行上榜称号	弓箭手菁英	0	2	3	0	24	-1
20	职业领袖 - 弓箭手第一名	8	弓箭手第一名	魔导士之神	0	2	5	0	24	-1
21	职业领袖 - 弓箭手第二名	8	弓箭手第二名	魔导士之王	0	2	4	0	24	-1
22	职业领袖 - 弓箭手第三名	8	弓箭手第三名	魔导士领队	0	2	4	0	24	-1
23	职业领袖 - 弓箭手第4-20名	8	弓箭手排行上榜称号	魔导士菁英	0	2	3	0	24	-1
24	公会战 - 大陆第一公会	24	公会战第一名的公会成员称号	大陆第一公会	0	3	4	0	-1	-1
25	华山论剑	-1	华山论剑第一名获得的称号	勇者再世	0	5	5	0	168	-1
26	华山论剑	-1	华山论剑第二名获得的称号	傲视群英	0	5	5	0	168	-1
27	华山论剑	-1	华山论剑第三名获得的称号	天赋卓绝	0	4	4	0	168	-1
28	华山论剑	-1	参与华山论剑的豪侠的称号	名扬天下	0	4	4	0	168	-1
29	华山论剑	-1	参与华山论剑的大侠的称号	名震八方	0	3	3	0	168	-1
30	华山论剑	-1	参与华山论剑的侠士的称号	四海皆知	0	3	3	0	168	-1
31	华山论剑	-1	参与华山论剑的侠客的称号	江湖豪侠	0	2	2	0	168	-1
32	遗忘废墟	10	遗忘废墟获得的稀有称号	传说缔造者	0	3	3	0	336	3088
33	遗忘废墟	11	遗忘废墟获得的史诗称号	神话传颂者	0	4	4	0	336	3088
34	遗忘废墟	12	遗忘废墟获得的传说称号	沙漠征服者	0	5	5	0	336	3088
35	混沌之地	13	混沌之地通关90层获得称号	混沌勇士	0	4	4	0	-1	3089
36	混沌之地	13	混沌之地通关100层获得称号	混沌征服者	0	5	5	0	-1	3090
37	世界BOSS	14	世界BOSS击杀排行第一的称号	恶魔收割者	0	4	4	0	168	3091
38	等级礼包	15	100级称号	大陆冒险家	0	4	4	0	-1	3092
39	等级礼包	15	70级称号	冒险家	0	3	3	0	-1	-1
40	等级礼包	15	40级称号	老手冒险者	0	2	2	0	-1	-1
41	等级礼包	15	10级称号	新人冒险者	0	1	1	0	-1	-1
42	战力榜	16	战力榜第一的称号	救世王者	0	5	5	0	24	-1
43	战力榜	16	战力榜第二的称号	救世勇士	0	4	4	0	24	-1
44	战力榜	16	战力榜第三的称号	救世勇者	0	4	4	0	24	-1
45	战力榜	16	战力榜前列的称号	救世卫士	0	3	3	0	24	-1
46	战力榜	16	战力榜上榜称号	救世者	0	3	3	0	24	-1
47	等级榜	17	等级榜第一的称号	先驱者	0	5	5	0	24	-1
48	等级榜	17	等级榜第二的称号	天行者	0	4	4	0	24	-1
49	等级榜	17	等级榜第三的称号	追风者	0	4	4	0	24	-1
50	等级榜	17	等级榜前列的称号	逐云者	0	3	3	0	24	-1
51	等级榜	17	等级榜上榜称号	捕影者	0	3	3	0	24	-1
