Id	Desc	TypeName	TypeDesc
INT	STRING	STRING	STRING
#MAX_ID=39;MAX_RECORD=40;TableType=Hash;			
#ID	描述(程序不读)	称号系列名	称号类型描述
0	公会称号	公会称号	标识公会身份的称号
8	职业称号	职业称号	职业领袖称号
10	遗忘废墟称号	遗忘废墟称号	遗忘废墟获得的稀有称号
11	遗忘废墟称号	遗忘废墟称号	遗忘废墟获得的史诗称号
12	遗忘废墟称号	遗忘废墟称号	遗忘废墟获得的传说称号
13	混沌之地称号	混沌之地称号	混沌之地挑战至高层获得称号
14	世界BOSS称号	世界BOSS称号	世界BOSS击杀排行前三队伍的称号
15	等级礼包称号	等级礼包称号	特定等级礼包获得称号
16	战力榜称号	战力榜称号	战力榜称号
17	等级榜称号	等级榜称号	等级榜称号
18	生命值榜称号	生命值榜称号	生命值榜称号
19	攻击榜称号	攻击榜称号	攻击榜称号
20	金币榜称号	金币榜称号	金币榜称号
22	消费榜称号	消费榜称号	消费榜称号
23	宗师榜称号	宗师榜称号	宗师榜称号
24	公会战称号	公会战战称号	公会战第一名的公会成员称号
26	战神	活动称号	参加各类活动获得的称号
27	公会争霸	公会争霸	标识公会争霸的称号
28	节日称号	节日称号	所有节日的限时称号
29	在线时长榜称号	在线时长榜称号	在线时长榜称号
31	标识公会身份的称号	公会进驻奖励	标识公会身份的称号
33	防御榜称号	防御榜称号	防御榜称号
37	充值榜称号	充值榜称号	充值榜称号
