Id	Desc	Name	Branch	LimitLevel	Cost	MaxHP	MaxMP	MaxXP	PysAttack	MagAttack	PysDef	MagDef	Hit	Dodge	Critical	Decritical	Strike	Ductical	CritiAdd	CritiMis	MoveSpeed	AttackSpeed
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=1000;TableType=Hash;																						
#修炼等级	描述(程序不读)	名称	分支修炼等级	操作限制等级	消耗经验	血上限	蓝上限	战意上限	物理攻击	法术攻击	物理防御	法术防御	命中	闪避	暴击	暴击抗性	穿透	韧性	暴击伤害加成	暴击伤害减免	移动速度	攻击速度
0		天府1阶	-1	91	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1		睛明	-1	91	1060000	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
2		攒竹	-1	91	1100000	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3		眉冲	-1	91	1170000	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
4		曲差	-1	91	1200000	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
5		承光	10005	91	1240000	0	0	0	140	140	0	0	0	0	0	0	0	0	0	0	0	0
6		五处	-1	91	1300000	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0
7		通天	-1	91	1320000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
8		络却	-1	91	1390000	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9		玉枕	-1	91	1440000	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
10		天柱	10010	91	1470000	3100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11		大杼	-1	91	1530000	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0
12		风门	-1	91	1560000	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
13		肺俞	-1	91	1630000	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0
14		心俞	-1	91	1680000	0	0	0	150	150	0	0	0	0	0	0	0	0	0	0	0	0
15		督俞	10015	91	1700000	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
16		当阳	-1	91	1760000	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17		肝俞	-1	91	1800000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18		胆俞	-1	91	1890000	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0
19		印堂	-1	91	1920000	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
20		胃俞	10020	91	1940000	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
21		鱼腰	-1	91	2020000	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0
22		会阳	-1	91	2040000	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0
23		承扶	-1	91	2120000	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0
24		殷门	-1	91	2150000	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
25		浮郄	10025	91	2180000	0	0	0	0	0	230	230	0	0	0	0	0	0	0	0	0	0
26		委阳	-1	91	2260000	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
27		委中	-1	91	2280000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0
28		附分	-1	91	2360000	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0
29		魄户	-1	91	2410000	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0
30		膏肓	10030	91	2440000	0	0	0	140	140	0	0	0	0	0	0	0	0	0	0	0	0
31		神堂	-1	92	2500000	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
32		膈关	-1	92	2510000	3100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33		魂门	-1	92	2640000	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34		阳纲	-1	92	2650000	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
35		意舍	10035	92	2680000	0	0	0	150	150	0	0	0	0	0	0	0	0	0	0	0	0
36		胃仓	-1	92	2760000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
37		肓门	-1	92	2770000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0
38		志室	-1	92	2860000	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
39		胞肓	-1	92	2910000	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
40		秩边	10040	92	2930000	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41		合阳	-1	92	3010000	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0
42		承筋	-1	92	3030000	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
43		承山	-1	92	3120000	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0
44		飞扬	-1	92	3160000	0	0	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0
45		跗阳	10045	92	3180000	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
46		昆仑	-1	92	3250000	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0
47		仆参	-1	92	3290000	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48		申脉	-1	92	3410000	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
49		金门	-1	92	3420000	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0
50		京骨	10050	92	3420000	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
51		束骨	-1	92	3530000	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52		太阳	-1	92	3530000	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
53		大敦	-1	92	3630000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
54		行间	-1	92	3660000	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
55		太冲	10055	92	3680000	0	0	0	0	0	240	240	0	0	0	0	0	0	0	0	0	0
56		中封	-1	92	3790000	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0
57		中都	-1	92	3790000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0
58		膝关	-1	92	3890000	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0
59		曲泉	-1	92	3930000	0	0	0	170	170	0	0	0	0	0	0	0	0	0	0	0	0
60		聚泉	10060	92	3940000	0	0	0	150	150	0	0	0	0	0	0	0	0	0	0	0	0
61		急脉	-1	93	4030000	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0
62		章门	-1	93	4060000	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63		期门	-1	93	4200000	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0
64		听会	-1	93	4200000	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0
65		上关	10065	93	4200000	0	0	0	170	170	0	0	0	0	0	0	0	0	0	0	0	0
66		颔厌	-1	93	4310000	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0
67		悬颅	-1	93	4310000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
68		悬厘	-1	93	4420000	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
69		曲鬓	-1	93	4450000	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
70		率谷	10070	93	4460000	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71		天冲	-1	93	4570000	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0
72		浮白	-1	93	4570000	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
73		完骨	-1	93	4680000	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74		本神	-1	93	4720000	0	0	0	180	180	0	0	0	0	0	0	0	0	0	0	0	0
75		阳白	10075	93	4720000	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
76		目窗	-1	93	4820000	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
77		正营	-1	93	4820000	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78		承灵	-1	93	5010000	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0
79		脑空	-1	93	5010000	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0
80		风池	10080	93	5010000	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
81		肩井	-1	93	5110000	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0
82		渊腋	-1	93	5110000	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0
83		辄筋	-1	93	5220000	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84		日月	-1	93	5230000	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0
85		京门	10085	93	5250000	0	0	0	0	0	270	270	0	0	0	0	0	0	0	0	0	0
86		带脉	-1	93	5380000	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0
87		五枢	-1	93	5380000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0
88		维道	-1	93	5480000	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0
89		环跳	-1	93	5520000	0	0	0	190	190	0	0	0	0	0	0	0	0	0	0	0	0
90		风市	10090	93	5520000	0	0	0	170	170	0	0	0	0	0	0	0	0	0	0	0	0
91		中渎	-1	94	5620000	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92		阳交	-1	94	5630000	3800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93		外丘	-1	94	5840000	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0
94		光明	-1	94	5840000	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0
95		阳辅	10095	94	5840000	0	0	0	190	190	0	0	0	0	0	0	0	0	0	0	0	0
96		悬钟	-1	94	5920000	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
97		丘墟	-1	94	5920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0
98		侠溪	-1	94	6040000	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0
99		极泉	-1	94	6060000	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
