Id	Desc	PosX	PosY	PosZ	RotX	RotY	RotZ	ScaleX	ScaleY	ScaleZ
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=1024;MAX_RECORD=1025;TableType=Index;										
#ID	程序不读	坐标X	坐标Y	坐标Z	旋转X	旋转Y	旋转Z	缩放X	缩放Y	缩放Z
0	雨林之怒副本第二阶段触发	81.57	14.59	9.76	0	0	0	13.23	1	7.91
1	黄昏边境副本1第3阶段触发	83.3	16.27	6.77	0	0	0	1	1	17
2	暮色雨林副本1第三阶段触发	75.84	15.21	17.47	0	269.0714	0	8.72	1	1
3	黄昏边境副本1第2阶段触发	65.32	16.27	6.77	0	0	0	1	1	17
4	黄昏边境副本4第二阶段	15.21	18.98	77.07	0	272.4415	0	1	1	16.55
5	黄昏要塞剧情副本1第一阶段	24.21	23.46	90.04	0	0.4497095	0	1	1	16.26
6	黄昏要塞剧情副本2第二阶段	55	23.45	77.5	0	0	0	1	1	31.9
7	黄昏要塞剧情副本2第三阶段	75.45	23.45	81.53	0	351.2188	0	1	1	18.7
8	黄昏要塞剧情副本3	57.9	15.38	33.15	0	29.83635	0	17.74	1	27.7
9	遗忘废墟（替代）副本1第2阶段触发	35.63	19.4	14.6	0	0	0	1	1	22.21
10	遗忘废墟（替代）副本1第3阶段触发	8.59	19.4	14.6	0	0	0	1	1	22.21
11	血色冰封剧情副本1第二阶段	13.51	22.86	72.25	0	0	0	29.28	1	1
12	血色冰封剧情副本1第三阶段	13.51	22.86	55.95	0	0	0	29.28	1	1
13	血色冰封剧情副本2	13.62	22.9	47.54	0	0	0	38.17	2.5	23.99
14	血色冰封剧情副本3	82.28	19.03	8.14	0	0	0	10.46	1	12.62
15	黄昏湖畔剧情副本1	67.63	4	78.73	0	0	0	15.91	1	15.15
16	黄昏之湖剧情副本1	17.16	16.31	21.26	0	0	0	27.13	1	18.64
17	黄昏之湖剧情副本2	33.98	16.3	73.38	0	0	0	1	1	18.64
18	"呼啸沙漠剧情副本1,2阶段"	78.28	15.25	62.21	0	0	0	20.33	1	1
19	"呼啸沙漠剧情副本1,3阶段"	78.28	15.25	50.63	0	0	0	20.33	1	1
20	"呼啸沙漠剧情副本2,2阶段"	79.29	15.3	31.6	0	0	0	1	1	27.5
21	"呼啸沙漠剧情副本2,3阶段"	88.63	15.3	30.85	0	0	0	1	1	27.5
22	"呼啸沙漠剧情副本3,2阶段"	12.94	18.1	78.23	0	43.18823	0	1	1	27.5
23	雷纳堡边境副本3	18.4	22.3	16.1	0	0	0	30.94	1	12.2
24	雷纳堡边境副本3	32.21	24.27	61.51	0	0	0	21.66	1	25.8
25	雷纳堡剧情副本1	48.65	10.08	86.73	0	0	0	23.33	1	24.7
26	血色冰封副本1，1阶段	30.2	8.4	70.51	0	0	0	32.31	1	1
27	血色冰封副本1，2阶段	11.8	8.4	61.8	0	0	0	1	1	23.93
28	血色冰封副本2	71.54	2.11	46.1	0	0	0	16.4	1	15
29	血色冰封副本3	71.54	2.11	68.79	0	0	0	38.7	1	15
30	黄昏湖畔副本3	32.08	3.92	52.94	0	339.1	0	28.89	1	32.02
31	8-1触发	19.54	18.9	13.9	0	0	0	10.03	1	25.52
32	8-2触发	84.98	2	41.02	0	0	0	18.92	1	13.14
33	8-3触发	14.58	10	70.74	0	26.3	0	17.03	1	13.5
34	8-4触发	34.39	24	60.18	0	0	0	11.26	1	22.43
