Id	Desc	Name	ScriptId	ConsumeFlag	CoolDownId	UseParamA	UseParamB	UseParamC	UseParamD	UseParamE
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;										
#ID	程序不读	物品名称	脚本ID	0：使用不销毁 1：使用后销毁2：使用后调用脚本的消耗函数	冷却Id(CoolDownTime.txt)	附加参数1	附加参数2	附加参数3	附加参数4	附加参数5
1	GM剑	GM剑	11111	1	-1	0	0	-1	0	0
2	血	血	103	1	16	1	1000	-1	0	0
34	双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0	0
36	血	血	103	1	16	1	1000	-1	0	0
37	蓝	蓝	103	1	17	2	1000	-1	0	0
44	十里断魂烟	十里断魂烟	102	2	-1	0	0	-1	0	0
45	金币	金币礼包	104	1	-1	1	15	-1	0	0
46	【同34】双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0	0
47	【同34】双倍丹绑定	玉灵丹	101	1	-1	0	0	-1	0	0
49	结婚礼包	结婚礼包	104	1	-1	1	1982	-1	0	0
50	结婚戒指 - 结婚后	鸳鸯戏水	128	0	129	0	0	-1	0	0
52	真气修炼丹	真气丹	103	1	-1	3	1000	-1	0	0
111	1级符文包	1级符文礼包	104	1	-1	1	91	-1	0	0
112	2级符文包	2级符文礼包	104	1	-1	1	92	-1	0	0
113	3级符文包	3级符文礼包	104	1	-1	1	93	-1	0	0
114	4级符文包	4级符文礼包	104	1	-1	1	94	-1	0	0
115	5级符文包	5级符文礼包	104	1	-1	1	95	-1	0	0
116	6级符文包	6级符文礼包	104	1	-1	1	96	-1	0	0
117	7级符文包	7级符文礼包	104	1	-1	1	100	-1	0	0
125	魔灵礼包	魔灵礼包	104	1	-1	1	104	-1	0	0
126	普通魔灵礼包	普通魔灵礼包	104	1	-1	1	106	-1	0	0
127	稀有魔灵礼包	稀有魔灵礼包	104	1	-1	1	107	-1	0	0
128	极品魔灵礼包	极品魔灵礼包	104	1	-1	1	108	-1	0	0
130	宠物技能书(火）	宠物技能书(火）	104	1	-1	1	31	-1	0	0
131	宠物技能书(气）	宠物技能书(气）	104	1	-1	1	32	-1	0	0
132	宠物技能书(水）	宠物技能书(水）	104	1	-1	1	33	-1	0	0
133	宠物技能书(地）	宠物技能书(地）	104	1	-1	1	34	-1	0	0
134	宠物技能书	宠物技能书	104	1	-1	1	35	-1	0	0
135	宠物技能升级书	宠物技能升级书	104	1	-1	1	36	-1	0	0
140	宠物宝宝蛋	宠物宝宝蛋	104	1	-1	1	60	-1	0	0
141	宠物宝宝蛋(火）	宠物宝宝蛋(火）	104	1	-1	1	61	-1	0	0
142	宠物宝宝蛋(气）	宠物宝宝蛋(气）	104	1	-1	1	62	-1	0	0
143	宠物宝宝蛋(水）	宠物宝宝蛋(水）	104	1	-1	1	63	-1	0	0
144	宠物宝宝蛋(地）	宠物宝宝蛋(地）	104	1	-1	1	64	-1	0	0
149	成年宠物蛋	成年宠物蛋	104	1	-1	1	69	-1	0	0
181	狂战变身技能书3	狂战变身技能书3	104	1	-1	1	81	-1	0	0
182	双剑变身技能书3	双剑变身技能书3	104	1	-1	1	82	-1	0	0
183	魔导变身技能书3	魔导变身技能书3	104	1	-1	1	83	-1	0	0
184	弓箭变身技能书3	弓箭变身技能书3	104	1	-1	1	84	-1	0	0
203	狂战职业橙色装备（60）	狂战60级职业橙色装备	104	1	-1	1	111	-1	0	0
204	双剑职业橙色装备（60）	双剑60级职业橙色装备	104	1	-1	1	112	-1	0	0
205	魔导职业橙色装备（60）	魔导60级职业橙色装备	104	1	-1	1	113	-1	0	0
206	弓箭职业橙色装备（60）	弓箭60级职业橙色装备	104	1	-1	1	114	-1	0	0
4001	60级红缸	朱红灵珠	127	2	16	1	4500000	-1	0	0
4002	80级红缸	赤红灵珠	127	2	16	1	9000000	-1	0	0
4003	100级红缸	绯红灵珠	127	2	16	1	18000000	-1	0	0
4006	60级蓝缸	湖蓝灵珠	127	2	17	2	450000	-1	0	0
4007	80级蓝缸	湛蓝灵珠	127	2	17	2	900000	-1	0	0
4008	100级蓝缸	碧蓝灵珠	127	2	17	2	1800000	-1	0	0
4011	红药	红药	103	1	16	1	100	-1	0	0
4012	红药	红药	103	1	16	1	550	-1	0	0
4013	红药	红药	103	1	16	1	1350	-1	0	0
4014	红药	红药	103	1	16	1	2300	-1	0	0
4015	红药	红药	103	1	16	1	3450	-1	0	0
4016	红药	红药	103	1	16	1	6200	-1	0	0
4017	红药	红药	103	1	16	1	10250	-1	0	0
4018	红药	红药	103	1	16	1	15100	-1	0	0
4019	红药	红药	103	1	16	1	19650	-1	0	0
4020	红药	红药	103	1	16	1	26700	-1	0	0
4021	蓝药	蓝药	103	1	17	2	100	-1	0	0
4022	蓝药	蓝药	103	1	17	2	250	-1	0	0
4023	蓝药	蓝药	103	1	17	2	550	-1	0	0
4024	蓝药	蓝药	103	1	17	2	1000	-1	0	0
4025	蓝药	蓝药	103	1	17	2	1550	-1	0	0
4026	蓝药	蓝药	103	1	17	2	2750	-1	0	0
4027	蓝药	蓝药	103	1	17	2	5000	-1	0	0
4028	蓝药	蓝药	103	1	17	2	6900	-1	0	0
4029	蓝药	蓝药	103	1	17	2	8750	-1	0	0
4030	蓝药	蓝药	103	1	17	2	11100	-1	0	0
4032	初级修炼丹	初级修炼丹	103	1	-1	3	100	-1	0	0
4033	中级修炼丹	中级修炼丹	103	1	-1	3	500	-1	0	0
4034	高级修炼丹	高级修炼丹	103	1	-1	3	1000	-1	0	0
4035	体力丹	体力丹	103	1	-1	4	100	-1	0	0
4036	丹药50级物理攻击	1品武力丹	112	1	-1	0	49101	-1	0	0
4037	丹药70级物理攻击	2品武力丹	112	1	-1	0	49102	-1	0	0
4038	丹药90级物理攻击	3品武力丹	112	1	-1	0	49103	-1	0	0
4039	丹药100级物理攻击	4品武力丹	112	1	-1	0	49104	-1	0	0
4040	丹药110级物理攻击	5品武力丹	112	1	-1	0	49105	-1	0	0
4041	丹药120级物理攻击	6品武力丹	112	1	-1	0	49106	-1	0	0
4042	丹药50级法术攻击	1品元气丹	112	1	-1	0	49107	-1	0	0
4043	丹药70级法术攻击	2品元气丹	112	1	-1	0	49108	-1	0	0
4044	丹药90级法术攻击	3品元气丹	112	1	-1	0	49109	-1	0	0
4045	丹药100级法术攻击	4品元气丹	112	1	-1	0	49110	-1	0	0
4046	丹药110级法术攻击	5品元气丹	112	1	-1	0	49111	-1	0	0
4047	丹药120级法术攻击	6品元气丹	112	1	-1	0	49112	-1	0	0
4048	丹药50级物理防御	1品护元丹	112	1	-1	0	49113	-1	0	0
4049	丹药70级物理防御	2品护元丹	112	1	-1	0	49114	-1	0	0
4050	丹药90级物理防御	3品护元丹	112	1	-1	0	49115	-1	0	0
4051	丹药100级物理防御	4品护元丹	112	1	-1	0	49116	-1	0	0
4052	丹药110级物理防御	5品护元丹	112	1	-1	0	49117	-1	0	0
4053	丹药120级物理防御	6品护元丹	112	1	-1	0	49118	-1	0	0
4054	丹药50级法术防御	1品护心丹	112	1	-1	0	49119	-1	0	0
4055	丹药70级法术防御	2品护心丹	112	1	-1	0	49120	-1	0	0
4056	丹药90级法术防御	3品护心丹	112	1	-1	0	49121	-1	0	0
4057	丹药100级法术防御	4品护心丹	112	1	-1	0	49122	-1	0	0
4058	丹药110级法术防御	5品护心丹	112	1	-1	0	49123	-1	0	0
4059	丹药120级法术防御	6品护心丹	112	1	-1	0	49124	-1	0	0
4060	丹药50级命中	1品凝神丹	112	1	-1	0	49125	-1	0	0
4061	丹药70级命中	2品凝神丹	112	1	-1	0	49126	-1	0	0
4062	丹药90级命中	3品凝神丹	112	1	-1	0	49127	-1	0	0
4063	丹药100级命中	4品凝神丹	112	1	-1	0	49128	-1	0	0
4064	丹药110级命中	5品凝神丹	112	1	-1	0	49129	-1	0	0
4065	丹药120级命中	6品凝神丹	112	1	-1	0	49130	-1	0	0
4066	丹药50级闪避	1品轻身丹	112	1	-1	0	49131	-1	0	0
4067	丹药70级闪避	2品轻身丹	112	1	-1	0	49132	-1	0	0
4068	丹药90级闪避	3品轻身丹	112	1	-1	0	49133	-1	0	0
4069	丹药100级闪避	4品轻身丹	112	1	-1	0	49134	-1	0	0
4070	丹药110级闪避	5品轻身丹	112	1	-1	0	49135	-1	0	0
4071	丹药120级闪避	6品轻身丹	112	1	-1	0	49136	-1	0	0
4072	丹药50级暴击	1品炎阳丹	112	1	-1	0	49137	-1	0	0
4073	丹药70级暴击	2品炎阳丹	112	1	-1	0	49138	-1	0	0
4074	丹药90级暴击	3品炎阳丹	112	1	-1	0	49139	-1	0	0
4075	丹药100级暴击	4品炎阳丹	112	1	-1	0	49140	-1	0	0
4076	丹药110级暴击	5品炎阳丹	112	1	-1	0	49141	-1	0	0
4077	丹药120级暴击	6品炎阳丹	112	1	-1	0	49142	-1	0	0
4078	丹药50级血上限	1品凝血丹	112	1	-1	0	49143	-1	0	0
4079	丹药70级血上限	2品凝血丹	112	1	-1	0	49144	-1	0	0
4080	丹药90级血上限	3品凝血丹	112	1	-1	0	49145	-1	0	0
4081	丹药100级血上限	4品凝血丹	112	1	-1	0	49146	-1	0	0
4082	丹药110级血上限	5品凝血丹	112	1	-1	0	49147	-1	0	0
4083	丹药120级血上限	6品凝血丹	112	1	-1	0	49148	-1	0	0
4084	清心丹	清心丹	118	1	-1	0	-1	-1	0	0
4500	火焰弹技能学习书	火焰弹技能学习书	99999	1	-1	0	0	-1	-1	22
4501	烬燃术技能学习书	烬燃术技能学习书	99999	1	-1	0	0	-1	-1	22
4502	怒火燎原技能学习书	怒火燎原技能学习书	99999	1	-1	0	0	-1	-1	22
4503	灼伤烈焰技能学习书	灼伤烈焰技能学习书	99999	1	-1	0	0	-1	-1	22
4504	晕眩术技能学习书	晕眩术技能学习书	99999	1	-1	0	0	-1	-1	22
4505	烈焰狂怒技能学习书	烈焰狂怒技能学习书	99999	1	-1	0	0	-1	-1	22
4506	强攻之火技能学习书	强攻之火技能学习书	99999	1	-1	0	0	-1	-1	22
4507	空气炮技能学习书	空气炮技能学习书	99999	1	-1	0	0	-1	-1	22
4508	雷暴技能学习书	雷暴技能学习书	99999	1	-1	0	0	-1	-1	22
4509	气守技能学习书	气守技能学习书	99999	1	-1	0	0	-1	-1	22
4510	极致风行技能学习书	极致风行技能学习书	99999	1	-1	0	0	-1	-1	22
4511	致盲技能学习书	致盲技能学习书	99999	1	-1	0	0	-1	-1	22
4512	狂暴气旋技能学习书	狂暴气旋技能学习书	99999	1	-1	0	0	-1	-1	22
4513	沙暴技能学习书	沙暴技能学习书	99999	1	-1	0	0	-1	-1	22
4514	回复术技能学习书	回复术技能学习书	99999	1	-1	0	0	-1	-1	22
4515	再生术技能学习书	再生术技能学习书	99999	1	-1	0	0	-1	-1	22
4516	水流护盾技能学习书	水流护盾技能学习书	99999	1	-1	0	0	-1	-1	22
4517	水之御技能学习书	水之御技能学习书	99999	1	-1	0	0	-1	-1	22
4518	海啸之力技能学习书	海啸之力技能学习书	99999	1	-1	0	0	-1	-1	22
