Id	Desc	ShowLevelReq	BuyLevelReq
INT	STRING	INT	INT
#MAX_ID=999999;MAX_RECORD=1024;TableType=Hash;			
#物品ID	描述	可视等级	可购买等级
8009	9级生命宝石	9	10
8209	9级法力宝石	9	10
8309	9级外功宝石	9	10
8409	9级内功宝石	9	10
8509	9级外防宝石	9	10
8609	9级内防宝石	9	10
8709	9级命中宝石	9	10
8809	9级闪避宝石	9	10
8909	9级暴击宝石	9	10
9009	9级暴抗宝石	9	10
8010	10级生命宝石	10	11
8210	10级法力宝石	10	11
8310	10级外功宝石	10	11
8410	10级内功宝石	10	11
8510	10级外防宝石	10	11
8610	10级内防宝石	10	11
8710	10级命中宝石	10	11
8810	10级闪避宝石	10	11
8910	10级暴击宝石	10	11
9010	10级暴抗宝石	10	11
8011	11级生命宝石	11	12
8211	11级法力宝石	11	12
8311	11级外功宝石	11	12
8411	11级内功宝石	11	12
8511	11级外防宝石	11	12
8611	11级内防宝石	11	12
8711	11级命中宝石	11	12
8811	11级闪避宝石	11	12
8911	11级暴击宝石	11	12
9011	11级暴抗宝石	11	12
8012	12级生命宝石	12	12
8212	12级法力宝石	12	12
8312	12级外功宝石	12	12
8412	12级内功宝石	12	12
8512	12级外防宝石	12	12
8612	12级内防宝石	12	12
8712	12级命中宝石	12	12
8812	12级闪避宝石	12	12
8912	12级暴击宝石	12	12
9012	12级暴抗宝石	12	12
59163	栖霞彩凤（永久）	9	9
61	乌金	9	9
59354	V9羊年礼包	9	9
59355	V10羊年礼包	9	10
59356	V11羊年礼包	10	11
59357	V12羊年礼包	11	12
59358	V13羊年礼包	12	13
59359	V14羊年礼包	13	14
59360	V15羊年礼包	14	15
9109	9级穿透宝石	9	10
9209	9级韧性宝石	9	10
9309	9级暴伤宝石	9	10
9409	9级暴减宝石	9	10
9110	10级穿透宝石	10	11
9210	10级韧性宝石	10	11
9310	10级暴伤宝石	10	11
9410	10级暴减宝石	10	11
9111	11级穿透宝石	11	12
9211	11级韧性宝石	11	12
9311	11级暴伤宝石	11	12
9411	11级暴减宝石	11	12
9112	12级穿透宝石	12	12
9212	12级韧性宝石	12	12
9312	12级暴伤宝石	12	12
9412	12级暴减宝石	12	12
70067	少林100级VIP橙色武器礼包	11	12
70068	天山100级VIP橙色武器礼包	11	12
70069	逍遥100级VIP橙色武器礼包	11	12
70070	大理100级VIP橙色武器礼包	11	12
70071	丐帮100级VIP橙色武器礼包	11	12
70072	少林100级VIP橙色上衣礼包	10	11
70073	天山100级VIP橙色上衣礼包	10	11
70074	逍遥100级VIP橙色上衣礼包	10	11
70075	大理100级VIP橙色上衣礼包	10	11
70076	丐帮100级VIP橙色上衣礼包	10	11
70077	少林100级VIP橙色裤子礼包	9	9
70078	天山100级VIP橙色裤子礼包	9	9
70079	逍遥100级VIP橙色裤子礼包	9	9
70080	大理100级VIP橙色裤子礼包	9	9
70081	丐帮100级VIP橙色裤子礼包	9	9
70082	少林100级VIP橙色项链礼包	9	10
70083	天山100级VIP橙色项链礼包	9	10
70084	逍遥100级VIP橙色项链礼包	9	10
70085	大理100级VIP橙色项链礼包	9	10
70086	丐帮100级VIP橙色项链礼包	9	10
