Id	Desc	VipCost	VipBag	VipStorage	SceneId0	BuyCount0	SweepCount0	SceneId1	BuyCount1	SweepCount1	SceneId2	BuyCount2	SweepCount2	SceneId3	BuyCount3	SweepCount3	SceneId4	BuyCount4	SweepCount4	SceneId5	BuyCount5	SweepCount5	StorySceneId	BuyStorySceneCount	StorySceneSweepCount	VipMoneyTree	SceneTower	TeamSceneId0	BuyTeamSceneCount0	TeamSceneId1	BuyTeamSceneCount1	TeamSceneId2	BuyTeamSceneCount2	VipItem1	VipItem2	VipItem3	VipItem4	VipItem5	ItemCount	VipAdd1	VipAdd2	VipAdd3	VipAdd4	VipAdd5	AddCount	SDCost	HiChallenge	New1VipAdd1	New1VipAdd2	New1VipAdd3	New1VipAdd4	New1VipAdd5	New1AddCount	New2VipAdd1	New2VipAdd2	New2VipAdd3	New2VipAdd4	New2VipAdd5	New2AddCount	New3VipAdd1	New3VipAdd2	New3VipAdd3	New3VipAdd4	New3VipAdd5	New3AddCount	New4VipAdd1	New4VipAdd2	New4VipAdd3	New4VipAdd4	New4VipAdd5	New4AddCount
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;																																																																							
#等级	累计消费	累次消费	Vip背包扩充格子	Vip仓库	场景ID	购买次数	是否可以扫荡	场景ID	购买次数	是否可以扫荡	场景ID	购买次数	是否可以扫荡	场景ID	购买次数	是否可以扫荡	场景ID	购买次数	是否可以扫荡	场景ID	购买次数	是否可以扫荡	剧情副本统一场景ID(-1)	购买次数	是否可以扫荡	摇钱树购买次数	藏经阁	组队副本ID	黄昏要塞(16)组队	组队副本ID	购买次数	组队副本ID	购买次数	狂战	双剑	弓箭	魔导	丐帮	数量	狂战	双剑	弓箭	魔导	丐帮	数量	扫荡花费	挑战100	狂战	双剑	弓箭	魔导	丐帮	数量	狂战	双剑	弓箭	魔导	丐帮	数量	狂战	双剑	弓箭	魔导	丐帮	数量	狂战	双剑	弓箭	魔导	丐帮	数量
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	-1	0	1	0	0	15	0	35	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	-1	0	1	0	0	15	0	35	0	-1	0	126	126	126	126	126	10	59	59	59	59	59	5	0	0	4031	4031	4031	4031	4031	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	6	5	0	0	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	-1	0	1	0	0	15	0	35	0	-1	0	23	23	23	23	23	20	59	59	59	59	59	10	0	0	4031	4031	4031	4031	4031	20	4084	4084	4084	4084	4084	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	30	24	0	0	15	1	1	14	1	1	0	0	0	0	0	0	0	0	0	6	0	0	-1	2	1	0	0	15	0	35	0	-1	0	24	24	24	24	24	50	59	59	59	59	59	15	0	0	4031	4031	4031	4031	4031	30	4084	4084	4084	4084	4084	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	60	30	0	0	15	2	1	14	1	1	35	1	1	0	0	0	0	0	0	6	0	0	-1	2	1	0	0	15	0	35	0	-1	0	100001	100001	100001	100001	100001	10	113	113	113	113	113	3	0	0	4031	4031	4031	4031	4031	40	4084	4084	4084	4084	4084	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	100	40	0	0	15	2	1	14	2	1	35	1	1	13	1	1	0	0	0	6	0	0	-1	4	1	0	0	15	0	35	0	-1	0	127	127	127	127	127	10	59	59	59	59	59	25	0	0	4031	4031	4031	4031	4031	50	4084	4084	4084	4084	4084	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	200	100	0	0	15	3	1	14	2	1	35	2	1	13	1	1	16	1	1	6	0	0	-1	4	1	0	0	15	0	35	0	-1	0	42604	43604	-1	44604	-1	1	140	140	140	140	140	3	0	0	4031	4031	4031	4031	4031	60	4084	4084	4084	4084	4084	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	500	300	0	0	15	3	1	14	3	1	35	2	1	13	2	1	16	1	1	6	1	0	-1	6	1	0	0	15	0	35	0	-1	0	134	134	134	134	134	5	59	59	59	59	59	30	0	0	4031	4031	4031	4031	4031	70	4084	4084	4084	4084	4084	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1000	500	0	0	15	4	1	14	3	1	35	3	1	13	2	1	16	2	1	6	1	0	-1	6	1	0	0	15	1	35	0	-1	0	135	135	135	135	135	20	59	59	59	59	59	35	10	0	4031	4031	4031	4031	4031	80	4084	4084	4084	4084	4084	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	2000	1000	0	0	15	4	1	14	4	1	35	3	1	13	3	1	16	2	1	6	1	0	-1	8	1	0	0	15	1	35	1	-1	0	71004	71004	71004	71004	71004	1	115	115	115	115	115	1	10	0	4031	4031	4031	4031	4031	90	4084	4084	4084	4084	4084	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	5000	3000	0	0	15	5	1	14	4	1	35	4	1	13	3	1	16	3	1	6	2	0	-1	8	1	0	0	15	1	35	1	-1	1	140003	120003	-1	160003	-1	1	71001	71001	71001	71001	71001	1	10	0	4031	4031	4031	4031	4031	100	4084	4084	4084	4084	4084	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	10000	5000	0	0	15	5	1	14	5	1	35	4	1	13	4	1	16	3	1	6	2	0	-1	10	1	0	0	15	1	35	1	-1	1	42607	43607	-1	44607	-1	1	60	60	60	60	60	20	10	0	4031	4031	4031	4031	4031	120	4084	4084	4084	4084	4084	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	20000	10000	0	0	15	5	1	14	5	1	35	5	1	13	4	1	16	4	1	6	2	0	-1	10	1	0	0	15	2	35	1	-1	1	100001	100001	100001	100001	100001	50	59	59	59	59	59	40	10	0	4031	4031	4031	4031	4031	140	4084	4084	4084	4084	4084	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	50000	30000	0	0	15	5	1	14	5	1	35	5	1	13	5	1	16	4	1	6	2	0	-1	10	1	0	0	15	2	35	2	-1	1	8006	8006	8006	8006	8006	1	128	128	128	128	128	20	10	0	4031	4031	4031	4031	4031	160	4084	4084	4084	4084	4084	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	100000	50000	0	0	15	5	1	14	5	1	35	5	1	13	5	1	16	5	1	6	2	0	-1	10	1	0	0	15	2	35	2	-1	2	8008	8008	8008	8008	8008	1	59	59	59	59	59	50	10	0	4031	4031	4031	4031	4031	180	4084	4084	4084	4084	4084	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	200000	100000	0	0	15	5	1	14	5	1	35	5	1	13	5	1	16	5	1	6	2	0	-1	10	1	0	0	15	2	35	3	-1	3	130004	110004	-1	150004	-1	1	116	116	116	116	116	3	10	0	4031	4031	4031	4031	4031	200	4084	4084	4084	4084	4084	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
