Id	Name	ResPath	Scale	BindPointL_PutOn	LeftRotX	LeftRotY	LeftRotZ	BindPointR_PutOn	RightRotX	RightRotY	RightRotZ	LWeaponBindPointPath	RWeaponBindPointPath	WeaponEffect01	WeaponEffect02	BindPointL_PutOff	LeftPosX_PutOff	LeftPosY_PutOff	LeftPosZ_PutOff	LeftRotX_PutOff	LeftRotY_PutOff	LeftRotZ_PutOff	BindPointR_PutOff	RightPosX_PutOff	RightPosY_PutOff	RightPosZ_PutOff	RightRotX_PutOff	RightRotY_PutOff	RightRotZ_PutOff
INT	STRING	STRING	FLOAT	STRING	FLOAT	FLOAT	FLOAT	STRING	FLOAT	FLOAT	FLOAT	STRING	STRING	Int	Int	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Hash;																													
#角色ID	描述（程序不读）	资源路径	缩放比例	拿出武器时左手武器绑定点	左武器旋转坐标X	左武器旋转坐标Y	左武器旋转坐标Z	拿出武器时右手武器绑定点	右武器旋转坐标X	右武器旋转坐标Y	右武器旋转坐标Z	武器特效绑定点	武器特效绑定点	武器特效01	武器特效02	收起武器时左手武器绑定点	收起武器时左武器位置坐标X	收起武器时左武器位置坐标Y	收起武器时左武器位置坐标Z	收起武器时左武器旋转坐标X	收起武器时左武器旋转坐标Y	收起武器时左武器旋转坐标Z	收起武器时右手武器绑定点	收起武器时右武器位置坐标X	收起武器时右武器位置坐标Y	收起武器时右武器位置坐标Z	收起武器时右武器旋转坐标X	收起武器时右武器旋转坐标Y	收起武器时右武器旋转坐标Z
0	少林新手武器	Test	1	weapon_L	0	0	0	Weapon_R	78.31003	264.93	180.57	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.77	-0.15	-0.12	347	357.69	-70.9
1	双剑士新手武器	Double_000_001	1	Weapon_L	355.0405	1.545003	357.8782	Weapon_R	11.1673	357.9684	357.9955	Test	Test	-1	-1	CenterPoint	-0.4587598	-0.04786465	0.1428931	78.18793	274.4139	66.95817	CenterPoint	-0.465	-0.061	-0.127	83.62738	311.3817	160.3909
2	大理新手武器	Bow_010_001	1	Weapon_L	275.74	96.50005	0	Weapon_R	0	0	0	Test	Test	-1	-1	Weapon_L	0.5	0.2	0.11	-353.9	-180	-180	Weapon_R	0	0	0	0	0	0
3	逍遥新手武器	Staff_003_001	1	Weapon_L	0	0	0	Weapon_R	30.96	61	0.4599969	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.42	0.53	-0.1	384.98	629.7	95.1
4	少林10级白色武器	Test	1	Weapon_L	0	0	0	Weapon_R	78.31003	264.93	180.57	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.77	-0.15	-0.12	347	357.69	-70.9
5	双剑士10级白色新手武器	Double_001_001	1	Weapon_L	357.37	179.1	183.2	Weapon_R	11.1673	357.9684	357.9955	Test	Test	-1	-1	CenterPoint	-0.4602418	-0.04741959	0.1400344	285.7425	70.77767	136.0296	CenterPoint	-0.465	-0.061	-0.127	83.62744	311.3817	160.3909
6	大理10级白色新手武器	Bow_010_001	1	Weapon_L	275.74	96.50005	0	Weapon_R	0	0	0	Test	Test	-1	-1	Weapon_L	0.5	0.2	0.11	-353.9	-180	-180	Weapon_R	0	0	0	0	0	0
7	逍遥10级白色新手武器	Staff_003_001	1	Weapon_L	0	0	0	Weapon_R	30.96	61	0.4599969	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.42	0.53	-0.1	384.98	629.7	95.1
8	少林1~10级白色武器	Test	1	Weapon_L	0	0	0	Weapon_R	78.31003	264.93	180.57	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.77	-0.15	-0.12	347	357.69	-70.9
9	双剑士20级白色武器	Double_002_001	1	Weapon_L	357.37	179.1	183.2	Weapon_R	11.1673	357.9684	357.9955	Test	Test	-1	-1	CenterPoint	-0.4602418	-0.04741959	0.1400344	285.7425	70.77767	136.0296	CenterPoint	-0.465	-0.061	-0.127	83.62744	311.3817	160.3909
10	大理1~10级白色武器	Bow_010_001	1	Weapon_L	275.74	96.50005	0	Weapon_R	0	0	0	Test	Test	-1	-1	Weapon_L	0.5	0.2	0.11	-353.9	-180	-180	Weapon_R	0	0	0	0	0	0
11	逍遥1~10级白色武器	Staff_003_001	1	Weapon_L	0	0	0	Weapon_R	30.96	61	0.4599969	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.42	0.53	-0.1	384.98	629.7	95.1
12	少林30+级白色武器	Test	1	Weapon_L	0	0	0	Weapon_R	78.31003	264.93	180.57	Test	Test	-1	-1	Weapon_L	0	0	0	0	0	0	Weapon_R	0.77	-0.15	-0.12	347	357.69	-70.9
