Id	Desc	Content
STRING	STRING	STRING
#加载中……		
#Id	描述	内容
0	安全相关	[ffffff]畅游员工绝不会向您索要密码！
1	游戏提示	[ffffff]喜欢《惊天动地》，就分享给朋友吧！
2	加载提示	[ffffff]加载场景不会消耗流量啦！
3	药品使用	[ffffff]自动使用生命或法力药品，可在设置里修改哦~
4	系统设置	[ffffff]如果不小心卡在了什么奇怪的地方，可在设置里使用脱离卡死回到正常的世界！
5	传送相关	[ffffff]点击右上角地图可以快速传送到去过的各个场景。
6	挂机相关	[ffffff]挂机时、游戏卡顿时，可降低画面效果。
7	活动掉落	[ffffff]副本难度越高掉落越好。去挑战更高难度吧！
8	装备保值	[ffffff]装备强化和打星等级，可通过吸收来继承。
9	伙伴保值	[ffffff]宠物星级，可通过吸收其他宠物来继承。
10	伙伴保值	[ffffff]变异宠物比普通的成年宠物强大得多，记得有时间去试试克隆哦~
11	战力提升	[ffffff]吸收符文，可直接提升主角属性哦！
12	战力提升	[ffffff]可使用背包里的工匠之盒合成更高级的符文，等级越高威力越大！
13	战力提升	[ffffff]激活魔灵阵法，加成自身属性！
14	伙伴保值	[ffffff]只有宝宝宠物能进行克隆，成年宠和变异宠物因为基因问题不能克隆哦~
