Id	Desc	TabIndex	ItemType	ItemID	Num	PriceWeek	SaleWeek	PriceMonth	SaleMonth	PriceForever	SaleForever	ShowPriority	SellTimeStart	SellTimeEnd	IsCanPresent
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;															
#商品ID	描述	标签分页(0强化 1伙伴 2装饰 3其他 4VIP 5精品 999限时)	物品类型(0物品 1时装 2伙伴 3坐骑)	物品ID(对应表ID 如物品对应commonitem 时装对应fashiondata)	物品数量	7天价格-原价	7天价格-折扣(-1按原价 非-1按折扣价 后同)	30天价格-原价	30天价格-折扣	永久价格-原价	永久价格-折扣	显示优先级(从1开始 1最靠前 -1不参与排列 最靠后 同优先级商品Id越小越靠前 优先级最大不得超过32367 如有需要联系程序)	上架时间(两位年月日时分，如1412240800)	下架时间(两位年月日时分，如1412240800)	是否可以赠送和代付
0	玄铁	0	0	23	1	6	-1	6	-1	6	-1	1	-1	-1	1
1	精钢	0	0	60	1	60	-1	60	-1	60	-1	2	-1	-1	1
2	打星石	0	0	24	1	16	-1	16	-1	16	-1	3	-1	-1	1
3	初级轻功要诀	3	0	59198	1	-1	-1	-1	-1	500	-1	-1	-1	-1	1
4	冰魄神丹美人进化材料	3	0	28	1	10	-1	10	-1	10	-1	-1	-1	-1	1
5	一品升星丹	1	0	4600	1	10	-1	10	-1	10	-1	-1	-1	-1	1
6	二品升星丹	1	0	4602	1	30	-1	30	-1	30	-1	-1	-1	-1	1
7	三品升星丹	1	0	4603	1	90	-1	90	-1	90	-1	-1	-1	-1	1
8	四品升星丹	1	0	4604	1	270	-1	270	-1	270	-1	-1	-1	-1	1
9	五品升星丹	1	0	4605	1	810	-1	810	-1	810	-1	-1	-1	-1	1
10	3级生命宝石	0	0	8003	1	90	-1	90	-1	90	-1	9	-1	-1	1
11	3级法力宝石	0	0	8203	1	90	-1	90	-1	90	-1	12	-1	-1	1
12	3级物攻宝石	0	0	8303	1	90	-1	90	-1	90	-1	10	-1	-1	1
13	3级法攻宝石	0	0	8403	1	90	-1	90	-1	90	-1	11	-1	-1	1
14	3级物防宝石	0	0	8503	1	90	-1	90	-1	90	-1	13	-1	-1	1
15	3级法防宝石	0	0	8603	1	90	-1	90	-1	90	-1	14	-1	-1	1
16	3级命中宝石	0	0	8703	1	90	-1	90	-1	90	-1	15	-1	-1	1
17	3级闪避宝石	0	0	8803	1	90	-1	90	-1	90	-1	16	-1	-1	1
18	3级暴击宝石	0	0	8903	1	90	-1	90	-1	90	-1	17	-1	-1	1
19	3级暴抗宝石	0	0	9003	1	90	-1	90	-1	90	-1	18	-1	-1	1
20	6级生命宝石	0	0	8006	1	1940	-1	1940	-1	1940	-1	23	-1	-1	1
21	6级法力宝石	0	0	8206	1	1940	-1	1940	-1	1940	-1	26	-1	-1	1
22	6级物攻宝石	0	0	8306	1	1940	-1	1940	-1	1940	-1	24	-1	-1	1
23	6级法攻宝石	0	0	8406	1	1940	-1	1940	-1	1940	-1	25	-1	-1	1
24	6级物防宝石	0	0	8506	1	1940	-1	1940	-1	1940	-1	27	-1	-1	1
25	6级法防宝石	0	0	8606	1	1940	-1	1940	-1	1940	-1	28	-1	-1	1
26	6级命中宝石	0	0	8706	1	1940	-1	1940	-1	1940	-1	29	-1	-1	1
27	6级闪避宝石	0	0	8806	1	1940	-1	1940	-1	1940	-1	30	-1	-1	1
28	6级暴击宝石	0	0	8906	1	1940	-1	1940	-1	1940	-1	31	-1	-1	1
29	6级暴抗宝石	0	0	9006	1	1940	-1	1940	-1	1940	-1	32	-1	-1	1
30	爪击激活书	1	0	4500	1	90	-1	90	-1	90	-1	-1	-1	-1	1
31	淬毒激活书	1	0	4501	1	90	-1	90	-1	90	-1	-1	-1	-1	1
32	削铁激活书	1	0	4502	1	90	-1	90	-1	90	-1	-1	-1	-1	1
33	横扫激活书	1	0	4503	1	180	-1	180	-1	180	-1	-1	-1	-1	1
34	阳炎激活书	1	0	4504	1	180	-1	180	-1	180	-1	-1	-1	-1	1
35	咆哮激活书	1	0	4505	1	300	-1	300	-1	300	-1	-1	-1	-1	1
36	狂野激活书	1	0	4506	1	300	-1	300	-1	300	-1	-1	-1	-1	1
37	借力激活书	1	0	4510	1	90	-1	90	-1	90	-1	-1	-1	-1	1
38	御敌激活书	1	0	4511	1	90	-1	90	-1	90	-1	-1	-1	-1	1
39	疗伤激活书	1	0	4512	1	90	-1	90	-1	90	-1	-1	-1	-1	1
40	霜瀑激活书	1	0	4513	1	180	-1	180	-1	180	-1	-1	-1	-1	1
41	看破激活书	1	0	4514	1	180	-1	180	-1	180	-1	-1	-1	-1	1
42	护主激活书	1	0	4515	1	300	-1	300	-1	300	-1	-1	-1	-1	1
43	绊足激活书	1	0	4516	1	300	-1	300	-1	300	-1	-1	-1	-1	1
44	铜钥匙	3	0	9501	1	12	-1	12	-1	12	-1	-1	-1	-1	1
