Id	Desc	Name	Ip	Port	State	Type	GroupName	
INT	STRING	STRING	STRING	INT	INT	INT	STRING
#预留							
#	描述	服务器名	IP	端口	状态 顺畅0 拥挤1 爆满2 维护3	类型 不推荐0 推荐1	组名
0	本机	维护	0.0.0.0	0	3	1	1--10
1	服务器2	新开（本地）	127.0.0.1	2231	2	2	0
600	服务器600	韩国体验服	47.88.139.180	2321	2	0	0
200	主干云服	外网main	115.159.112.99	2221	0	1	0
201	用研云服	畅游内	115.159.112.99	2231	0	1	0
202	体验云服	外网体验	115.159.112.99	2241	0	1	0
203	客户端	客户端性能	115.159.112.99	2251	0	1	0
210	压测	服务器压测	115.159.43.129	2221	0	1	0
220	安全性	安全性	115.159.0.108	2221	0	1	0
115	服务器30	内_Main_115	10.1.16.5	2331	2	1	11--20
117	服务器32	内_Main_工程117	10.1.16.5	2351	2	1	0
116	服务器31	内_Main_116	10.1.16.5	2341	2	1	0
